,PRODUCT_ID,MANUFACTURER,DEPARTMENT,BRAND,COMMODITY_DESC,SUB_COMMODITY_DESC,CURR_SIZE_OF_PRODUCT,MEAT_TYPE
48568,1959837,69,MEAT,Private,BEEF,PRIMAL,1 LB,BOVINE
48576,1960583,1094,MEAT-PCKGD,National,LUNCHMEAT,VARIETY PACK,16 OZ,UNKNOWN
48580,1960863,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-IQF RAW SHRIMP RW,1 LB,SEAFOOD
48590,1962291,1094,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,16 OZ,UNKNOWN
48603,1964658,1094,MEAT-PCKGD,National,LUNCHMEAT,HAM,6 OZ.,PORK
48616,1966792,69,MEAT-PCKGD,Private,LUNCHMEAT,BOLOGNA,16 OZ,UNKNOWN
48622,1967734,2845,MEAT,National,BEEF,LEAN, ,BOVINE
48625,1967933,2872,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
48634,1969118,69,GROCERY,Private,MEAT - SHELF STABLE,VIENNA SAUSAGE,5 OZ,PORK
48637,1969229,3352,DELI,National,CHICKEN/POULTRY,CHIX:FRD 8PC/CUT UP (COLD), ,POULTRY
48641,1969524,4086,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
48683,1973703,3317,SEAFOOD,National,SEAFOOD-FRESH,SEAFOOD-FRE-SALMON, ,SEAFOOD
48699,1976458,397,MEAT-PCKGD,National,FROZEN MEAT,FRZN BREADED PREPARED CHICK,13.25 OZ,POULTRY
48714,1978019,69,MEAT-PCKGD,Private,DINNER SAUSAGE,FRESH,18 OZ,PORK
48719,1978551,69,MEAT-PCKGD,Private,LUNCHMEAT,PEPPERONI/SALAMI,16 OZ,PORK
48732,1980058,1764,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,1 LB,PORK
48750,1982616,69,MEAT-PCKGD,Private,BACON,ECONOMY,12 OZ,PORK
48760,1984898,3311,SEAFOOD,National,SEAFOOD-FRESH,SEAFOOD-FRE-SALMON, ,SEAFOOD
48762,1985394,69,MEAT-PCKGD,Private,BACON,PREMIUM,16 OZ,PORK
48768,1986363,1138,MEAT-PCKGD,National,HOT DOGS,PREMIUM - BEEF,1 LB,BOVINE
48774,1987397,2966,MEAT,National,BEEF,PRIMAL, ,BOVINE
48789,1988785,1089,MEAT-PCKGD,National,LUNCHMEAT,HAM,5 OZ,PORK
48792,1989106,69,MEAT-PCKGD,Private,MEAT - MISC,BREAST - BONELESS(IQF),3 LB,POULTRY
48793,1989117,69,GROCERY,Private,MEAT - SHELF STABLE,MICROWAVABLE CUPS,7.5 OZ,UNKNOWN
48796,1989299,1094,MEAT-PCKGD,National,HOT DOGS,PREMIUM - BEEF,16 OZ,BOVINE
48799,1989572,2209,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,1 LB,PORK
48807,1990898,4208,DELI,National,DELI MEATS,MEAT:HAM BULK, ,PORK
48821,1992254,4314,MEAT,National,CHICKEN,CHICKEN BREAST BONELESS, ,POULTRY
48850,1996254,69,MEAT-PCKGD,Private,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,12 OZ,PORK
48855,1997642,1441,GROCERY,National,SEAFOOD - SHELF STABLE,MISC.CND SEAFOODS (CRABETC),2 OZ,SEAFOOD
48862,1998258,3732,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
48866,1998661,1089,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED - BETTER FOR YOU,16 OZ,PORK
48934,2006910,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,FRZN BRD STICK/PORTON,8 OZ,SEAFOOD
48948,2008535,2946,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
48956,2009449,781,GROCERY,National,MEAT - SHELF STABLE,MICROWAVABLE CUPS,7.5 OZ,UNKNOWN
48960,2009717,69,GROCERY,Private,SEAFOOD - SHELF STABLE,TUNA,6.125 OZ,SEAFOOD
48961,2009725,1138,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,1 LB,UNKNOWN
48976,2011357,4181,MEAT,National,CHICKEN,CHICKEN LEGS/QUARTERS, ,POULTRY
48985,2012756,397,MEAT-PCKGD,National,MEAT - MISC,BREAST - BONELESS(IQF),40 OZ,POULTRY
48988,2012906,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-IQF COOKED SHRIMP,40 OZ,SEAFOOD
48989,2013014,1094,MEAT-PCKGD,National,LUNCHMEAT,HAM,6 OZ,PORK
48990,2013078,2326,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,6.4 OZ,SEAFOOD
49004,2014235,1425,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,14 OZ,PORK
49022,2015555,1089,MEAT-PCKGD,National,LUNCHMEAT,MISCELLANEOUS,5 OZ,UNKNOWN
49030,2016444,1107,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,6 OZ,POULTRY
49032,2016615,2914,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
49033,2016787,1089,MEAT-PCKGD,National,LUNCHMEAT,HAM,9 OZ,PORK
49044,2017568,2937,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
49057,2019097,2911,MEAT,National,BEEF,LOIN - STK/CHP/SLC, ,BOVINE
49061,2019756,5502,MEAT-PCKGD,National,FROZEN MEAT,CORN DOGS,1 LB,UNKNOWN
49076,2021170,1138,MEAT-PCKGD,National,LUNCHMEAT,LOAVE,8 OZ,UNKNOWN
49077,2021203,4316,MEAT,National,CHICKEN,CHICKEN DRUMS, ,POULTRY
49092,2022328,1094,MEAT-PCKGD,National,LUNCHMEAT,MISCELLANEOUS,8 OZ,UNKNOWN
49094,2022364,69,MEAT-PCKGD,Private,LUNCHMEAT,PEPPERONI/SALAMI,8 OZ,PORK
49099,2022862,3473,MEAT,National,PORK,ENHANCED, ,PORK
49115,2024965,2808,MEAT,National,BEEF,SELECT BEEF, ,BOVINE
49129,2026045,69,MEAT-PCKGD,Private,FROZEN MEAT,FRZN BURGERS/BBQ/MEATBALL,38 OZ,UNKNOWN
49154,2027904,1094,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,12 OZ,UNKNOWN
49187,2031370,1094,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,8 OZ,UNKNOWN
49190,2031566,1508,MEAT-PCKGD,National,FROZEN MEAT,FRZN BREADED PREPARED CHICK,9 OZ,POULTRY
49201,2033391,69,SEAFOOD-PCKGD,Private,SEAFOOD-FRESH,SEAFOOD-FRE-NON RW-ALL,1 LB,SEAFOOD
49214,2035308,69,DELI,Private,CHICKEN/POULTRY,CHIX:FRD 8PC/CUT UP (HOT),56 OZ,POULTRY
49216,2035841,3739,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
49226,2037097,1138,MEAT-PCKGD,National,LUNCHMEAT,LOAVE,8 OZ,UNKNOWN
49228,2037481,69,DELI,Private,CHICKEN/POULTRY,CHIX: ROTISSERIE (HOT), ,POULTRY
49230,2037804,2209,MEAT-PCKGD,National,DINNER SAUSAGE,FRESH,19.76 OZ,PORK
49248,2040013,3015,MEAT,National,PORK,SHLDR - STK/CHP/SLC, ,PORK
49271,2043102,1094,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,6 OZ,POULTRY
49273,2043153,69,MEAT-PCKGD,Private,LUNCHMEAT,POULTRY,16 OZ,POULTRY
49275,2043187,3038,MEAT,National,PORK,DRY, ,PORK
49293,2045171,3665,MEAT,National,BEEF,GRND/PATTY - SIRLOIN (90%+), ,BOVINE
49295,2045652,1094,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,12 OZ,UNKNOWN
49302,2046452,1138,MEAT-PCKGD,National,HOT DOGS,PREMIUM - MEAT,16 OZ,UNKNOWN
49330,2050369,69,MEAT-PCKGD,Private,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,12 OZ,PORK
49340,2051507,3043,MEAT,National,PORK,LOIN - CHOPS BONELESS, ,PORK
49341,2051733,3343,MEAT,National,RW FRESH PROCESSED MEAT,MEAL SOL-RAW FRTHR PREPRD MT, ,UNKNOWN
49348,2052742,1138,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,14 OZ,PORK
49380,2056950,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-RAW FILLETS,2 LB,SEAFOOD
49381,2057635,1094,MEAT-PCKGD,National,BACON,PRE-COOKED,2.1 OZ,PORK
49405,2060582,830,GROCERY,National,MEAT - SHELF STABLE,VIENNA SAUSAGE,5 OZ,PORK
49406,2060682,1089,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,16 OZ,PORK
49421,2062212,69,GROCERY,Private,MEAT - SHELF STABLE,MICROWAVABLE CUPS,7.50 OZ,UNKNOWN
49423,2062223,5599,GROCERY,National,SEAFOOD - SHELF STABLE,SARDINES,3.75 OZ,SEAFOOD
49440,2064459,397,MEAT-PCKGD,National,FROZEN MEAT,FRZN BREADED PREPARED CHICK,26 OZ,POULTRY
49445,2064736,1508,MEAT-PCKGD,National,FROZEN MEAT,FRZN BREADED PREPARED CHICK,10 OZ,POULTRY
49453,2065828,1425,MEAT-PCKGD,National,BACON,ECONOMY,1 LB,PORK
49459,2066389,1764,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,PATTIES - RAW,12 OZ,PORK
49461,2066751,1138,MEAT-PCKGD,National,LUNCHMEAT,VARIETY PACK,14 OZ,UNKNOWN
49466,2067673,69,GROCERY,Private,SEAFOOD - SHELF STABLE,TUNA,6 OZ,SEAFOOD
49471,2068190,2949,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
49477,2068749,69,MEAT-PCKGD,Private,LUNCHMEAT,POULTRY,2.5 OZ,POULTRY
49494,2070735,69,MEAT-PCKGD,Private,FROZEN MEAT,FRZN BREADED PREPARED CHICK,28 OZ,POULTRY
49503,2072259,4089,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
49523,2074559,69,MEAT,Private,BEEF,PRIMAL,3 LB,BOVINE
49541,2076781,1089,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,1 LB,PORK
49544,2077194,1764,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,10 OZ,PORK
49561,2078890,3867,DELI,National,DELI MEATS,MEAT: LUNCHMEAT BULK, ,UNKNOWN
49575,2080836,2924,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
49576,2081026,3864,DELI,National,DELI MEATS,MEAT: LUNCHMEAT BULK, ,UNKNOWN
49582,2081843,69,MEAT-PCKGD,Private,LUNCHMEAT,BOLOGNA,2LBS,UNKNOWN
49590,2086086,1764,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,16 OZ,PORK
49609,2097009,2945,MEAT,National,BEEF,ROUND/LEG - ROAST, ,BOVINE
49616,2105050,3729,DELI,National,DELI MEATS,MEAT: CHICKEN BULK, ,POULTRY
49636,2114195,544,GROCERY,National,WAREHOUSE SNACKS,MEAT SNACKS,3.5 OZ,UNKNOWN
49650,2127534,1425,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,32 OZ,UNKNOWN
49653,2128807,69,DELI,Private,CHICKEN/POULTRY,CHIX: ROTISSERIE (HOT), ,POULTRY
49665,2133921,4314,MEAT,National,CHICKEN,CHICKEN BREAST BONELESS, ,POULTRY
49675,2142268,4882,DELI,National,DELI MEATS,MEAT:HAM BULK, ,PORK
49684,2145112,3012,MEAT,National,PORK,SHLDR - BUTT, ,PORK
49686,2145922,3716,DELI,National,DELI MEATS,MEAT: BEEF BULK, ,BOVINE
49710,2158735,1089,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,16 OZ,PORK
49756,2185235,3732,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
49798,2203462,4208,DELI,National,DELI MEATS,MEAT:HAM BULK, ,PORK
49805,2207411,3517,DELI,National,DELI MEATS,MEAT:HAM BULK, ,PORK
49810,2209786,1094,MEAT-PCKGD,National,BACON,PREMIUM,16 OZ,PORK
49823,2217525,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-MISC,4 OZ,SEAFOOD
49835,2224647,1094,MEAT-PCKGD,National,BACON,PRE-COOKED,2.1 OZ,PORK
49840,2226936,1846,GROCERY,National,SEAFOOD - SHELF STABLE,SALMON,14.75 OZ,SEAFOOD
49849,2231197,2852,MEAT,National,BEEF,PRIMAL, ,BOVINE
49855,2232204,1764,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,10 OZ,PORK
49859,2233406,608,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN BREADED PREPARED CHICK,26 OZ,POULTRY
49867,2237619,3340,SEAFOOD,National,SEAFOOD-FRESH,SEAFOOD-FRE-RAW FINFISH-OTHER, ,SEAFOOD
49872,2240299,4457,DELI,National,DELI MEATS,MEAT: PATES/MOUSSE, ,UNKNOWN
49879,2245067,3414,MEAT,National,BEEF,RIB - STK/CHP/SLC, ,BOVINE
49888,2250272,1094,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,12 OZ,UNKNOWN
49891,2250836,397,MEAT-PCKGD,National,FROZEN MEAT,FRZN BREADED PREPARED CHICK,11.5 OZ,POULTRY
49903,2254422,3420,MEAT,National,BEEF,LOIN - STK/CHP/SLC, ,BOVINE
49908,2255676,3422,MEAT,National,BEEF,LOIN - STK/CHP/SLC, ,BOVINE
49912,2257381,2326,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,2.6 OZ,SEAFOOD
49925,2261517,3883,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
49936,2266634,1094,MEAT-PCKGD,National,HOT DOGS,PREMIUM - MEAT,16 OZ,UNKNOWN
49951,2274375,4543,DELI,National,CHICKEN/POULTRY,CHIX: VALUE ADDED (HOT), ,POULTRY
49962,2280746,3715,DELI,National,DELI MEATS,MEAT: BEEF BULK, ,BOVINE
49976,2287811,3738,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
49978,2289208,2914,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
50003,2308747,2326,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,6.4 OZ,SEAFOOD
50026,2320871,3723,DELI,National,DELI MEATS,MEAT:HAM BULK, ,PORK
50039,2325988,2972,MEAT,National,BEEF,KABOBS, ,BOVINE
50046,2328473,4219,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
50061,2337228,4303,MEAT,National,CHICKEN,CHICKEN BREAST BONELESS, ,POULTRY
50065,2338924,1089,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,16 OZ,PORK
50075,2343066,1138,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,10.6 OZ,UNKNOWN
50078,2345696,1094,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,12 OZ,UNKNOWN
50121,2372050,2856,MEAT,National,BEEF,PRIMAL, ,BOVINE
50132,2376699,781,MEAT-PCKGD,National,LUNCHMEAT,PEPPERONI/SALAMI,3.5 OZ,PORK
50146,2381201,1719,MEAT-PCKGD,National,BACON,BETTER FOR YOU,12 OZ,PORK
50149,2381598,4208,DELI,National,DELI MEATS,MEAT:HAM BULK, ,PORK
50168,2385704,544,GROCERY,National,WAREHOUSE SNACKS,MEAT SNACKS,3.5 OZ,UNKNOWN
50191,2391175,1089,MEAT-PCKGD,National,LUNCHMEAT,MISCELLANEOUS,8 OZ.,UNKNOWN
50215,2395222,69,DELI,Private,CHICKEN/POULTRY,CHIX: ROTISSERIE (HOT), ,POULTRY
50220,2396223,4483,DELI,National,CHICKEN/POULTRY,CHIX:FRD 8PC/CUT UP (HOT), ,POULTRY
50221,2396375,5966,MEAT-PCKGD,National,BACON,ECONOMY,16 OZ,PORK
50223,2396669,1094,MEAT-PCKGD,National,BACON,PREMIUM, ,PORK
50238,2400179,4842,MEAT,National,SMOKED MEATS,MARINATED, ,UNKNOWN
50250,2404149,2090,DELI,National,DELI MEATS,MEAT: TURKEY PPK/PRESLC,8 OZ.,POULTRY
50259,2406072,80,SEAFOOD-PCKGD,National,SEAFOOD - FROZEN,FRZN BRD STICK/PORTON,19.2 OZ,SEAFOOD
50260,2406116,1089,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,9  OZ,POULTRY
50292,2414862,4228,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
50330,2425316,69,MEAT,Private,BEEF,PRIMAL,16 OZ,BOVINE
50331,2426107,69,DELI,Private,CHICKEN/POULTRY,CHIX: ROTISSERIE (HOT), ,POULTRY
50338,2428563,69,DELI,Private,CHICKEN/POULTRY,CHIX:FRD 8PC/CUT UP (HOT), ,POULTRY
50367,2438165,3317,SEAFOOD,National,SEAFOOD-FRESH,SEAFOOD-FRE-SALMON, ,SEAFOOD
50383,2441733,544,GROCERY,National,WAREHOUSE SNACKS,MEAT SNACKS,3.5 OZ,UNKNOWN
50389,2443137,2877,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
50391,2444055,3488,MEAT,National,PORK,LOIN - ROAST, ,PORK
50412,2448891,1094,MEAT-PCKGD,National,HOT DOGS,PREMIUM - MEAT,1 LB,UNKNOWN
50423,2452321,69,MEAT-PCKGD,Private,LUNCHMEAT,PEPPERONI/SALAMI,3.5 OZ,PORK
50438,2456277,80,SEAFOOD-PCKGD,National,SEAFOOD - FROZEN,FRZN BRD STICK/PORTON,24.6 OZ,SEAFOOD
50447,2458154,2872,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
50471,2465153,4715,MEAT,National,BEEF,VARIETY MEAT - CUBE/STW/STRP, ,BOVINE
50490,2470375,1094,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,9 OZ,POULTRY
50508,2475101,1230,MEAT-PCKGD,National,LUNCHMEAT,VARIETY PACK,6 OZ,UNKNOWN
50511,2475773,1094,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,8 OZ,UNKNOWN
50520,2477817,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-IQF RAW SHRIMP RW,14 OZ,SEAFOOD
50528,2481745,2817,MEAT,National,BEEF,NATURAL BEEF, ,BOVINE
50543,2485264,69,GROCERY,Private,SEAFOOD - SHELF STABLE,MISC.CND SEAFOODS (CRABETC),P  3.75 OZ,SEAFOOD
50558,2487523,4564,DELI,National,CHICKEN/POULTRY,CHIX:FRD 8PC/CUT UP (HOT), ,POULTRY
50577,2492063,4547,DELI,National,CHICKEN/POULTRY,CHIX:VALUE ADDED (COLD), ,POULTRY
50581,2492597,2854,MEAT,National,BEEF,PRIMAL, ,BOVINE
50587,2493204,69,MEAT-PCKGD,Private,LUNCHMEAT,MISCELLANEOUS,1 LB,UNKNOWN
50599,2496601,3661,MEAT,National,BEEF,GRND/PATTY - BEEF, ,BOVINE
50609,2499998,1707,MEAT-PCKGD,National,BACON,ECONOMY,1 LB,PORK
50613,2500711,935,GROCERY,National,SEAFOOD - SHELF STABLE,MISC.CND SEAFOODS (CRABETC),N   6.5 OZ,SEAFOOD
50633,2506601,3726,DELI,National,DELI MEATS,MEAT:HAM BULK, ,PORK
50646,2510574,2832,MEAT,National,BEEF,NATURAL BEEF, ,BOVINE
50656,2512186,1089,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,16 OZ,PORK
50699,2525931,4841,MEAT,National,SMOKED MEATS,HAM - BONELESS WHOLE, ,PORK
50714,2530597,2326,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,12 OZ,SEAFOOD
50716,2530878,3718,DELI,National,DELI MEATS,MEAT: BEEF BULK, ,BOVINE
50719,2532448,472,MEAT-PCKGD,National,MEAT - MISC,MEAT SNACKS,4.5 OZ,UNKNOWN
50720,2532617,3663,MEAT,National,BEEF,PRIMAL, ,BOVINE
50769,2544393,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,FRZN BRD STICK/PORTON,8 OZ,SEAFOOD
50784,2550225,1089,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,09 OZ,POULTRY
50785,2550283,1094,MEAT-PCKGD,National,LUNCHMEAT,HAM,9 OZ,PORK
50787,2551404,2326,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,2.6 OZ,SEAFOOD
50790,2551966,397,MEAT-PCKGD,National,BACON,ECONOMY,16 OZ,PORK
50813,2559075,1178,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,6 OZ,SEAFOOD
50826,2562144,4309,MEAT,National,CHICKEN,CHICKEN BREAST BONE IN, ,POULTRY
50837,2564807,69,MEAT-PCKGD,Private,MEAT - MISC,BREAST - BONELESS(IQF),3 LB,POULTRY
50859,2570985,2856,MEAT,National,BEEF,PRIMAL, ,BOVINE
50907,2581291,2876,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
50908,2581354,16,GROCERY,Private,SEAFOOD - SHELF STABLE,TUNA,3 OZ,SEAFOOD
50948,2592807,2924,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
50959,2595149,1094,MEAT-PCKGD,National,LUNCHMEAT,HAM,6 OZ,PORK
50972,2598417,3340,SEAFOOD,National,SEAFOOD-FRESH,SEAFOOD-FRE-RAW FINFISH-OTHER, ,SEAFOOD
51003,2607389,3723,DELI,National,DELI MEATS,MEAT:HAM BULK,7-11 LB RW,PORK
51007,2608937,1094,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,1 LB,UNKNOWN
51008,2608995,4320,MEAT,National,CHICKEN,DRUMS, ,POULTRY
51035,2616282,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-IQF COOKED SHRIMP,17 OZ,SEAFOOD
51037,2616385,3490,MEAT,National,PORK,ENHANCED, ,PORK
51040,2616597,1094,MEAT-PCKGD,National,HOT DOGS,PREMIUM - MEAT,1 LB,UNKNOWN
51044,2616939,4309,MEAT,National,CHICKEN,CHICKEN BREAST BONE IN, ,POULTRY
51047,2617997,69,MEAT-PCKGD,Private,MEAT - MISC,DRUMS (IQF),3 LB,POULTRY
51056,2620410,80,SEAFOOD-PCKGD,National,SEAFOOD - FROZEN,FRZN BRD STICK/PORTON,25 OZ,SEAFOOD
51066,2623845,1094,MEAT-PCKGD,National,LUNCHMEAT,PEPPERONI/SALAMI,16 OZ,PORK
51069,2624025,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-BRD SHRIMP,6 OZ,SEAFOOD
51074,2625067,1089,MEAT-PCKGD,National,DINNER SAUSAGE,RED,16 OZ,PORK
51085,2628750,69,MEAT-PCKGD,Private,HOT DOGS,PREMIUM - BEEF,16 OZ,BOVINE
51092,2629797,4303,MEAT,National,CHICKEN,CHICKEN BREAST BONELESS, ,POULTRY
51101,2632477,2326,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,12 OZ,SEAFOOD
51103,2632937,4314,MEAT,National,CHICKEN,CHICKEN BREAST BONELESS, ,POULTRY
51134,2644365,4308,MEAT,National,CHICKEN,WHOLE CHICKEN (ROASTERS/FRYER), ,POULTRY
51141,2645890,1094,MEAT-PCKGD,National,HOT DOGS,PREMIUM - BEEF,1 LB,BOVINE
51151,2648100,1861,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,16 OZ,PORK
51158,2649418,4298,MEAT,National,CHICKEN,BREAST - BONELESS, ,POULTRY
51161,2650718,1094,MEAT-PCKGD,National,HOT DOGS,BETTER FOR YOU,14 OZ,UNKNOWN
51173,2657654,4214,DELI,National,DELI MEATS,MEAT: CHICKEN BULK, ,POULTRY
51181,2660447,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-IQF COOKED SHRIMP,14 OZ,SEAFOOD
51188,2661209,2092,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,1 LB,PORK
51203,2664434,1089,MEAT-PCKGD,National,LUNCHMEAT,HAM,09 OZ,PORK
51210,2665813,4321,MEAT,National,CHICKEN,WINGS, ,POULTRY
51215,2667574,1094,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,8 OZ,UNKNOWN
51226,2671168,2326,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,5.5 OZ,SEAFOOD
51229,2671681,69,GROCERY,Private,SEAFOOD - SHELF STABLE,MISC.CND SEAFOODS (CRABETC),P     8 OZ,SEAFOOD
51242,2674499,2775,MEAT,National,TURKEY,TURKEY BREAST BONE IN, ,POULTRY
51246,2675330,1171,GROCERY,National,MEAT - SHELF STABLE,POTTED MEATS AND SPREADS,P  4.25 OZ,UNKNOWN
51309,2700407,3003,MEAT,National,LAMB,CHUCK/SHOULDER, ,OVINE
51335,2718136,2812,MEAT,National,BEEF,RIB - STK/CHP/SLC, ,BOVINE
51349,2730158,1094,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,13 OZ,UNKNOWN
51350,2731388,830,GROCERY,National,MEAT - SHELF STABLE,VIENNA SAUSAGE,5 OZ,PORK
51372,2748937,4586,MEAT,National,CHICKEN,CHICKEN THIGHS, ,POULTRY
51388,2763527,5486,MEAT-PCKGD,National,MEAT - MISC,GRND/PATTY - FROZEN,32 OZ,UNKNOWN
51390,2768012,1094,MEAT-PCKGD,National,LUNCHMEAT,HAM,16 OZ,PORK
51391,2768166,69,GROCERY,Private,MEAT - SHELF STABLE,CHUNK MEATS - ALL,10 OZ,UNKNOWN
51397,2774224,2801,MEAT,National,BEEF,SELECT BEEF, ,BOVINE
51398,2775592,2326,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,5.0 OZ,SEAFOOD
51400,2777271,4815,MEAT,National,SMOKED MEATS,HAMS-HALF/PORT BONE-IN, ,PORK
51406,2779149,3278,SEAFOOD,National,SEAFOOD-FRESH,SEAFOOD-FRE-CATFISH, ,SEAFOOD
51434,2799701,2219,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,16 OZ,PORK
51450,2808816,4588,MEAT,National,CHICKEN,CHICKEN BREAST BONE IN, ,POULTRY
51472,2820778,1094,MEAT-PCKGD,National,LUNCHMEAT,PEPPERONI/SALAMI,16 OZ,PORK
51507,2855968,2840,MEAT,National,BEEF,SELECT BEEF, ,BOVINE
51524,2872737,69,MEAT-PCKGD,Private,HOT DOGS,ECONOMY - MEAT,12 OZ,UNKNOWN
51526,2873464,2830,MEAT,National,BEEF,NATURAL BEEF, ,BOVINE
51553,2898837,2834,MEAT,National,BEEF,SELECT BEEF, ,BOVINE
51556,2899717,1087,SEAFOOD-PCKGD,National,SEAFOOD - FROZEN,FRZN BRD STICK/PORTON,7.6 OZ,SEAFOOD
51586,2931147,2831,MEAT,National,BEEF,SELECT BEEF, ,BOVINE
51601,2943212,1094,MEAT-PCKGD,National,LUNCHMEAT,LOAVE,16 OZ,UNKNOWN
51609,2950971,1089,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED - BETTER FOR YOU,16 OZ,PORK
51619,2955326,781,MEAT-PCKGD,National,BACON,PRE-COOKED,2.1 OZ,PORK
51622,2956420,830,GROCERY,National,MEAT - SHELF STABLE,VIENNA SAUSAGE,5 OZ,PORK
51632,2972088,69,MEAT-PCKGD,Private,BACON,PREMIUM,12 OZ,PORK
51639,2973535,1427,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,16 OZ,PORK
